folder	A2	B2	Z	o	h2	cf	cm	dsm	df	dm	alpha	recomb	recomb	a	b	v	gen	printgen	range1	range2	inc1	inc2	run	perturb	pertamt	pertgen	Zoff	dA2	sfert
1	0	0	3.336	1	0.5	0.25	0	0.01	1	1	1.3	0.5	0.5	0.18	0.000002	0.3	3000	600	0.25	0.25	5	5	5						
2	0.99	0.1	3.336	1	0	0.25	0	0.01	0.5	0.5	2	0.5	0.5	0.2	0.00007	0.3	3000	600	0.25	0.25	5	5	5						
3	0.99	0.1	3.336	1	0	0.08	0.01	0.01	0.5	0.5	2.3	0.5	0.5	0.2	0.00007	0.3	3000	600	0.25	0.25	5	5	5						
4	0.99	0.1	3.336	1	0.5	0.25	0	0.01	0.5	0.5	1.3	0.5	0.5	0.2	0.00007	0.3	3000	600	0.25	0.25	5	5	5						
7	0.99	0.01	3	1	0.5	0.07	0.01	0	0.1	0.1	2.3	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	10	10	40	40	7	1	0.001	500	0	0	0
9	0.99	0.01	3	1	0.5	0.07	0.01	0	0.1	0.1	2.3	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	10	10	5	5	9	1	0.001	500	0	0	0
10	0.99	0.01	3	1	0.5	0.07	0.01	0	0.1	0.1	2.3	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	1.25	1.25	5	5	10	1	0.001	500	0	0	0
11	0.99	0.01	3	1	0.5	0.07	0.01	0	0.1	0.1	2.3	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	10	10	40	40	7	1	0.001	500	0	0	0
1000000	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1000000						
1000001	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1000001						
1000010	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	1000010						
1000011	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1000011						
1000100	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1000100						
1000101	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1000101						
1000110	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	1000110						
1000111	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1000111						
1001000	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1001000						
1001001	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1001001						
1001010	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	1001010						
1001011	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1001011						
1001100	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1001100						
1001101	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1001101						
1001110	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	1001110						
1001111	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1001111						
1010000	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1010000						
1010001	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1010001						
1010010	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	1010010						
1010011	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1010011						
1010100	1	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	1010100						
1010101	1	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1010101						
