"folder"	"A2"	"B2"	"Z"	"o"	"h2"	"cf"	"cm"	"dsm"	"df"	"dm"	"alpha"	"recomb"	"recomb"	"a"	"b"	"v"	"gen"	"printgen"	"range1"	"range2"	"inc1"	"inc2"	"pert"	"pertamt"	"pertgen"	"Zoff"	"dA2"	"sfert"
1000000	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000001	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000010	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000011	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000100	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000101	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000110	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1000111	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001000	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001001	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001010	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001011	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001100	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001101	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001110	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1001111	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1010000	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1010001	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1010010	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1010011	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
